Epizoda;Prizor;Lokacija;Okoliš?ine;Opis;Liki;Statisti;Igralci;Število strani scenarija
3;Mar-13;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;JULIJA PREDLAGA ROMANU SODELOVANJE NA KONGRESU. ROMAN JE ZADRŽAN  A JULIJA IMA MAMLJIV PREDLOG.;10 Julija,251 Roman;;Sabina Kogovšek,Uroš Smolej;2 1/4
3;Mar-14;Kemp/Klubska soba;DAN-INT.;MARK IN MIA IGRATA PIKADO. MIA JE ZMAGOVALKA - V VSEH POGLEDIH.;1 Mark,21 Mia,207 NI STATISTOV;NI STATISTOV;Matej Zemlji?,Zala Djuri?;1 7/8
3;Mar-15;Lj/Pasaža/Lokal;DAN-INT.;LARA SE PO?UTI IZDANO  KER JE JANA ODPUSTILA MARKU. NININ FANT PA RAZJEZI LARO  KO ZAGOVARJA JANO. LARA JEZNA ODIDE.;2 Lara,18 Nina,253 Žan,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Fila?,Melani Mekicar,Domen Novak;3 1/8
3;Mar-16;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;JULIJA IZKORISTI ROMANOVO NAVDUŠENJE IN SI IZPOSLUJE MESTO V UPRAVI TER PROSI ROMANA  DA UREDI PROBLEM Z MINISTROM.;10 Julija,251 Roman;;Sabina Kogovšek,Uroš Smolej;2 1/2
3;Mar-17;Lj/Klub;DAN-INT.;LARA JE PRIŠLA UTOPIT RAZO?ARANJA TEGA DNE ZA ŠANK. A UGOTOVI  DA JE IZGUBILA DENARNICO.;2 Lara,254 Barman,208 KLUB STATISTI (?);KLUB STATISTI (?);Gaja Fila?;1 7/8
3;Mar-18;Kemp/Plaža Pod Barom;DAN-EXT.;"?RT ZNAŠA SVOJO JEZO NAD ""PLATNOM"". JANA JE ŠOKIRANA ZARADI ?RTOVEGA ""DIVJANJA"".";12 Jana,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Poto?nik,Aljaž Tepina; 5/8
3;Mar-19;Lj/Pasaža/Lokal;DAN-INT.;LARA SE VRNE V PASAŽO PO IZGUBLJENO DENARNICO. VIDI  DA JE LOKAL ZAPRT. DINO PA JE PRESENE?EN OB POGLEDU NA LARO.;2 Lara,4 Dino,227 LOKAL A 3x 19.2.,228 LOKAL AA 4x 19.2.;LOKAL A 3x 19.2.,LOKAL AA 4x 19.2.;Gaja Fila?,Matino Antunovi?; 5/8
3;Mar-20;Kemp/Klubska soba;DAN-INT.;MARK DOKON?NO POMIRI MIINE DVOME ZARADI LARE. MARK LJUBI MIO.;1 Mark,21 Mia,207 NI STATISTOV;NI STATISTOV;Matej Zemlji?,Zala Djuri?;1 3/4
3;Mar-21;Kemp/Plaža Pod Barom;DAN-EXT.;?RT PRITISKA NA JANO  NAJ SPREJME OD MARKA ODŠKODNINO. JANA NE POPUSTI. ?RT SPET UŽALJEN ODIDE.;12 Jana,194 ?rt,206 KEMP STANDARD (7);KEMP STANDARD (7);Tanja Poto?nik,Aljaž Tepina;1 1/4
3;Mar-22;Lj/Pasaža;NO?-INT;SAŠKA JE PRIŠLA PO DINA V MESNICO  DA GRESTA SKUPAJ NA KONCERT. DINA NI.;5 Saška;;Mila Peršin; 5/8
