04-17;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik;KEMP STANDARD (7)
04-18;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,18 Nina,5 Saška,1000 Voziček,229 LOKAL B 1x 19.2.,230 LOKAL BB 3x 19.2.;Gaja Filač,Melani Mekicar,Mila Peršin;LOKAL B 1x 19.2.,LOKAL BB 3x 19.2.
04-19;Kemp/Plaža Pod Barom;DAN-EXT.;12 Jana,194 Črt,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
04-20;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.;161 Stane,252 Erika;Bojan Maroševič,Bernarda Oman;ni STATISTOV
04-21;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,18 Nina,5 Saška,23 Borut,1000 Voziček,229 LOKAL B 1x 19.2.,230 LOKAL BB 3x 19.2.;Gaja Filač,Melani Mekicar,Mila Peršin,Miha Rodman;LOKAL B 1x 19.2.,LOKAL BB 3x 19.2.
04-22;Kemp/Plaža Pod Barom;DAN-EXT.;12 Jana,194 Črt,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
04-23;Lj/Pasaža/Lokal;DAN-INT.;2 Lara,18 Nina,5 Saška,23 Borut,1000 Voziček,229 LOKAL B 1x 19.2.,230 LOKAL BB 3x 19.2.;Gaja Filač,Melani Mekicar,Mila Peršin,Miha Rodman;LOKAL B 1x 19.2.,LOKAL BB 3x 19.2.
04-24;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.;161 Stane,252 Erika;Bojan Maroševič,Bernarda Oman;ni STATISTOV
04-25;Lj/Kozmetični Salon/Soba;DAN-INT.;5 Saška,6 Meri,1001 Dojenček;Mila Peršin,Vesna Pernarčič,Dane Pevc;ni STATISTOV
04-26;Kemp/Pred recepcijo;DAN-EXT.;1 Mark,21 Mia,12 Jana,203 KEMP VEČ (15);Matej Zemljič,Zala Djurić,Tanja Potočnik;KEMP VEČ (15)
04-27;Lj/Klub;DAN-INT;2 Lara,254 Barman,207 NI STATISTOV;Gaja Filač;NI STATISTOV
05-01;Kemp/Pred recepcijo;DAN-EXT.;1 Mark,21 Mia,12 Jana,203 KEMP VEČ (15);Matej Zemljič,Zala Djurić,Tanja Potočnik;KEMP VEČ (15)
05-02;Lj/Dolenčevo Stanovanje/Kabinet;DAN-INT.;161 Stane;Bojan Maroševič;ni STATISTOV
05-03;Lj/Pasaža;DAN-INT.;6 Meri,23 Borut,230 LOKAL BB 3x 19.2.;Vesna Pernarčič,Miha Rodman;LOKAL BB 3x 19.2.
05-04;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;12 Jana,194 Črt,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
05-05;Lj/Dolenčevo Stanovanje/Dnevna Soba;DAN-INT.;161 Stane,252 Erika;Bojan Maroševič,Bernarda Oman;ni STATISTOV
05-06;Lj/Pasaža;DAN-INT.;6 Meri,23 Borut,230 LOKAL BB 3x 19.2.;Vesna Pernarčič,Miha Rodman;LOKAL BB 3x 19.2.
05-07;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;12 Jana,194 Črt,307OFF Referentka Off,206 KEMP STANDARD (7);Tanja Potočnik,Aljaž Tepina;KEMP STANDARD (7)
05-08;Lj/Vila/Vhodna Veža s Stopniščem;DAN-INT.;1 Mark,21 Mia,10 Julija;Matej Zemljič,Zala Djurić,Sabina Kogovšek;ni STATISTOV
05-09;Lj/Klub;DAN-INT.;2 Lara,254 Barman,308 Tip,208 KLUB STATISTI (?);Gaja Filač;KLUB STATISTI (?)
05-10;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;1 Mark,21 Mia,10 Julija;Matej Zemljič,Zala Djurić,Sabina Kogovšek;ni STATISTOV
05-11;Kemp/Janina Parcela/Pred Avtodomom;DAN-EXT.;14 Hrvoje,12 Jana,206 KEMP STANDARD (7);Alen Šalinović,Tanja Potočnik;KEMP STANDARD (7)
05-12;Lj/Kozmetični Salon/Soba;DAN-INT.;5 Saška,6 Meri,1000 Voziček;Mila Peršin,Vesna Pernarčič;ni STATISTOV
05-13;Kemp/Recepcija;DAN-INT.;14 Hrvoje,3 Edvard,12 Jana;Alen Šalinović,Aleš Valič,Tanja Potočnik;ni STATISTOV
05-14;Lj/Kovačeva Mesnica;DAN-INT.;4 Dino,5 Saška,1000 Voziček,217 pasaža standard (3) - B;Matino Antunović,Mila Peršin;pasaža standard (3) - B
05-15;Kemp/Recepcija;DAN-INT.;14 Hrvoje,3 Edvard,161 Stane;Alen Šalinović,Aleš Valič,Bojan Maroševič;ni STATISTOV
05-16;Lj/Pasaža/Lokal;DAN-INT.;18 Nina,23 Borut,230 LOKAL BB 3x 19.2.;Melani Mekicar,Miha Rodman;LOKAL BB 3x 19.2.
05-17;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;1 Mark,21 Mia,20 Petra;Matej Zemljič,Zala Djurić,Maja Zupan;ni STATISTOV
05-18;Kemp/Restavracija;DAN-INT.;3 Edvard,161 Stane,206 KEMP STANDARD (7);Aleš Valič,Bojan Maroševič;KEMP STANDARD (7)
05-19;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;21 Mia,10 Julija;Zala Djurić,Sabina Kogovšek;ni STATISTOV
05-20;Kemp/Restavracija;DAN-INT.;3 Edvard,161 Stane,206 KEMP STANDARD (7);Aleš Valič,Bojan Maroševič;KEMP STANDARD (7)
05-21;Lj/Julijino Stanovanje/Jedilnica;DAN-INT.;21 Mia,10 Julija;Zala Djurić,Sabina Kogovšek;ni STATISTOV
05-22;Lj/Kozmetični Salon/Sprejemnica;DAN-INT.;18 Nina,6 Meri,23 Borut;Melani Mekicar,Vesna Pernarčič,Miha Rodman;ni STATISTOV
05-23;Kemp/Restavracija;DAN-INT.;3 Edvard,161 Stane,206 KEMP STANDARD (7);Aleš Valič,Bojan Maroševič;KEMP STANDARD (7)
05-24;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;NOČ-INT.;1 Mark,20 Petra;Matej Zemljič,Maja Zupan;ni STATISTOV
05-25;Lj/Klub;NOČ-INT.;2 Lara,1 Mark,254 Barman;Gaja Filač,Matej Zemljič;ni STATISTOV
06-01;Lj/Nadino stanovanje/Ordinacija;NOČ-INT.;2 Lara,1 Mark,13 Nada;Gaja Filač,Matej Zemljič,Aleksandra Balmazović;ni STATISTOV
06-02;Lj/Kozmetični Salon/Sprejemnica;NOČ-INT.;6 Meri,1000 Voziček;Vesna Pernarčič;ni STATISTOV
06-03;Lj/Julijino Stanovanje/Jedilnica;NOČ-INT.;21 Mia,10 Julija;Zala Djurić,Sabina Kogovšek;ni STATISTOV
06-04;Lj/Nadino stanovanje/Ordinacija;NOČ-INT.;1 Mark,13 Nada;Matej Zemljič,Aleksandra Balmazović;ni STATISTOV
06-05;Lj/Markova Garsonjera/Kuhinja;DAN-INT.;1 Mark,21 Mia;Matej Zemljič,Zala Djurić;ni STATISTOV
06-06;Kemp/Edvardova parcela/Pred prikolico;DAN-EXT.;3 Edvard,161 Stane,206 KEMP STANDARD (7);Aleš Valič,Bojan Maroševič;KEMP STANDARD (7)
06-07;Lj/Bb-Jeva Pisarna;DAN-INT.;10 Julija,19 Bb;Sabina Kogovšek,Valter Dragan;ni STATISTOV
06-08;Lj/Markova Garsonjera/Kuhinja;DAN-INT.;1 Mark,21 Mia;Matej Zemljič,Zala Djurić;ni STATISTOV
06-09;Kemp/Recepcija;DAN-INT.;14 Hrvoje,3 Edvard;Alen Šalinović,Aleš Valič;ni STATISTOV
06-10;Lj/Nadino stanovanje/Ordinacija;DAN-INT.;7 Frenk,6 Meri,13 Nada;Gaber Trseglav,Vesna Pernarčič,Aleksandra Balmazović;ni STATISTOV
06-11;Lj/Kovačeva Mesnica;DAN-INT.;4 Dino,5 Saška,200 pasaža standard (3);Matino Antunović,Mila Peršin;pasaža standard (3)
06-12;Lj/Markova Garsonjera/Dnevni Del;DAN-INT.;1 Mark,21 Mia;Matej Zemljič,Zala Djurić;ni STATISTOV
06-13;Lj/Nadino stanovanje/Ordinacija;DAN-INT.;7 Frenk,6 Meri,13 Nada;Gaber Trseglav,Vesna Pernarčič,Aleksandra Balmazović;ni STATISTOV
06-14;Lj/Pasaža/Lokal;DAN-INT.;18 Nina,256 Lastnik Starinarnice,23 Borut,210 LOKAL STANDARD (4);Melani Mekicar,Jože Drabik Jug,Miha Rodman;LOKAL STANDARD (4)
06-15;Lj/Bb-Jeva Pisarna;DAN-INT.;19 Bb,15 Pečnik;Valter Dragan,Matija Rupel;ni STATISTOV
06-16;Lj/Vila/Vhodna Veža s Stopniščem;DAN-INT.;3 Edvard,11 David;Aleš Valič,Blaž Valič;ni STATISTOV
06-17;Lj/Bistro Lotus;DAN-INT.;10 Julija,251 Roman,411 Natakarica,300 STATISTI LOTUS A 6x 10.4.;Sabina Kogovšek,Uroš Smolej,Ksenija Žunić;STATISTI LOTUS A 6x 10.4.
06-18;Lj/Pasaža/Lokal;DAN-INT.;18 Nina,23 Borut,210 LOKAL STANDARD (4);Melani Mekicar,Miha Rodman;LOKAL STANDARD (4)
06-19;Lj/Kovačeva Mesnica;DAN-INT.;7 Frenk,4 Dino,200 pasaža standard (3);Gaber Trseglav,Matino Antunović;pasaža standard (3)
06-20;Lj/Nadino Stanovanje/Spalnica;DAN-INT.;2 Lara;Gaja Filač;ni STATISTOV
06-21;Lj/Steinerjeva Klinika/Pisarna/Ordinacija;DAN-INT.;1 Mark,21 Mia;Matej Zemljič,Zala Djurić;ni STATISTOV
